run_id,claim_registry
2026-03-07T205655Z,yes
2026-03-07T211000Z,yes
2026-03-07T213500Z,yes
2026-03-07T214654Z,no
2026-03-07T221314Z,no
2026-03-07T221500Z,yes
2026-03-07T221845Z,no
2026-03-07T222730Z,no
2026-03-07T222803Z,no
2026-03-07T222806Z,no
2026-03-07T222811Z,no
2026-03-07T230500Z,yes
2026-03-07T232000Z,yes
2026-03-07T233000Z,yes
2026-03-07T234000Z,yes
2026-03-07T235000Z,yes
2026-03-08T000500Z,yes
2026-03-08T001500Z,yes
2026-03-08T_hard_audit,no
prd23_synthetic,no
usecase2_synthetic,no
usecase2_synthetic_quick,no
