name,category,n_blocks,block_balance,E_cl,E_rob_proxy,delta_otimes_proxy,delta_gov_proxy,E_lg,nmi,ari,macro_f1,contestability_proxy,responsibility_residue
singleton,trivial,80,1.000000,0.0000000000,0.0000000000,,0.0000000000,0.0000000000,0.817692,0.000000,0.007500,1.000000,0.000000
one_block,trivial,1,0.000000,0.0000000000,0.0000000000,,0.3333333333,0.1111111111,0.000000,0.000000,0.002780,0.000000,0.000000
degree_median,stat_baseline,2,0.168661,0.1158306086,0.1158306086,,0.0000000000,0.1158306086,0.043401,0.001467,0.002849,1.000000,0.000000
random_2,random_null,2,1.000000,0.1348205776,0.1348205776,,0.0000000000,0.1348205776,0.080566,-0.010358,0.005285,1.000000,0.000000
q_star,framework,2,1.000000,0.1424612189,0.1721131529,,0.0000000000,0.1424612189,0.270759,0.058792,0.003497,1.000000,0.000000
spectral,graph_baseline,2,1.000000,0.1424612189,0.1424612189,,0.0000000000,0.1424612189,0.270759,0.058792,0.003497,1.000000,0.000000
rewire_spectral_2,null_world_rewire,2,1.000000,0.1549943425,0.1549943425,,0.0000000000,0.1549943425,0.100876,-0.001394,0.008863,1.000000,0.000000
label_frequency,stat_baseline,2,0.507411,0.1581970326,0.1581970326,,0.0000000000,0.1581970326,0.207968,0.023915,0.004103,1.000000,0.000000
random_5,random_null,2,0.998196,0.1721030907,0.1721030907,,0.0000000000,0.1721030907,0.065745,-0.009289,0.008769,1.000000,0.000000
random_7,random_null,2,0.999549,0.1866780705,0.1866780705,,0.0000000000,0.1866780705,0.150769,0.008787,0.007074,1.000000,0.000000
rewire_spectral_1,null_world_rewire,2,1.000000,0.1883376644,0.1883376644,,0.0000000000,0.1883376644,0.122236,0.003728,0.003578,1.000000,0.000000
random_1,random_null,2,0.992774,0.1909582970,0.1909582970,,0.0000000000,0.1909582970,0.101836,-0.003575,0.005196,1.000000,0.000000
random_4,random_null,2,1.000000,0.1978160903,0.1978160903,,0.0000000000,0.1978160903,0.091569,-0.007797,0.003537,1.000000,0.000000
louvain,graph_baseline,7,0.984107,0.2021338257,0.2021338257,,0.0000000000,0.2021338257,0.701060,0.355604,0.000000,1.000000,0.000000
rewire_spectral_0,null_world_rewire,2,1.000000,0.2045197415,0.2045197415,,0.0000000000,0.2045197415,0.107437,-0.005236,0.005285,1.000000,0.000000
random_6,random_null,2,0.988699,0.2081145691,0.2081145691,,0.0000000000,0.2081145691,0.145327,0.013597,0.005164,1.000000,0.000000
random_3,random_null,2,0.988699,0.2159833296,0.2159833296,,0.0000000000,0.2159833296,0.122189,0.008548,0.007188,1.000000,0.000000
random_0,random_null,2,0.999549,0.2303194632,0.2303194632,,0.0000000000,0.2303194632,0.105745,-0.005291,0.005250,1.000000,0.000000
rewire_spectral_3,null_world_rewire,2,1.000000,0.2517921058,0.2517921058,,0.0000000000,0.2517921058,0.136483,0.007570,0.007074,1.000000,0.000000
