name,category,n_blocks,block_balance,E_cl,E_rob_proxy,delta_otimes_proxy,delta_gov_proxy,E_lg,nmi,ari,macro_f1,contestability_proxy,responsibility_residue
singleton,trivial,120,1.000000,0.0000000000,0.0000000000,,0.2077727952,0.0431695344,0.782217,0.000000,0.001190,0.688341,0.000000
random_0,random_null,2,0.998196,0.1013109722,0.1013109722,,0.0000000000,0.1013109722,0.061010,-0.001390,0.005131,1.000000,0.000000
random_15,random_null,2,0.999198,0.1042784645,0.1042784645,,0.0000000000,0.1042784645,0.061447,-0.006328,0.004967,1.000000,0.000000
one_block,trivial,1,0.000000,0.0000000000,0.0000000000,,0.3333333333,0.1111111111,0.000000,0.000000,0.002151,0.000000,0.000000
rewire_spectral_1,null_world_rewire,2,1.000000,0.1136252441,0.1136252441,,0.0000000000,0.1136252441,0.079493,0.003937,0.008031,1.000000,0.000000
rewire_spectral_0,null_world_rewire,2,1.000000,0.1152482786,0.1152482786,,0.0000000000,0.1152482786,0.072906,-0.006788,0.005948,1.000000,0.000000
random_8,random_null,2,0.979869,0.1213737981,0.1213737981,,0.0000000000,0.1213737981,0.069645,-0.002720,0.003161,1.000000,0.000000
q_star,framework,2,1.000000,0.1268700633,0.1386204645,,0.0000000000,0.1268700633,0.313592,0.082967,0.005797,1.000000,0.000000
spectral,graph_baseline,2,1.000000,0.1268700633,0.1268700633,,0.0000000000,0.1268700633,0.313592,0.082967,0.005797,1.000000,0.000000
random_12,random_null,2,0.996792,0.1281542294,0.1281542294,,0.0000000000,0.1281542294,0.091570,0.000106,0.009095,1.000000,0.000000
rewire_spectral_3,null_world_rewire,2,1.000000,0.1464001630,0.1464001630,,0.0000000000,0.1464001630,0.077991,-0.003966,0.006024,1.000000,0.000000
random_3,random_null,2,0.999198,0.1505743739,0.1505743739,,0.0000000000,0.1505743739,0.086282,-0.000125,0.007990,1.000000,0.000000
random_1,random_null,2,0.999800,0.1549409201,0.1549409201,,0.0000000000,0.1549409201,0.089678,0.005602,0.005973,1.000000,0.000000
random_10,random_null,2,1.000000,0.1553013801,0.1553013801,,0.0000000000,0.1553013801,0.077734,-0.000014,0.006914,1.000000,0.000000
random_6,random_null,2,0.996792,0.1608811545,0.1608811545,,0.0000000000,0.1608811545,0.062092,-0.003830,0.006018,1.000000,0.000000
rewire_spectral_5,null_world_rewire,2,1.000000,0.1635489793,0.1635489793,,0.0000000000,0.1635489793,0.078040,-0.000579,0.006024,1.000000,0.000000
random_7,random_null,2,0.999198,0.1665684757,0.1665684757,,0.0000000000,0.1665684757,0.062871,-0.002945,0.006982,1.000000,0.000000
random_13,random_null,2,1.000000,0.1737816231,0.1737816231,,0.0000000000,0.1737816231,0.088879,0.001679,0.006024,1.000000,0.000000
rewire_spectral_4,null_world_rewire,2,1.000000,0.1786753397,0.1786753397,,0.0000000000,0.1786753397,0.079928,-0.002272,0.006914,1.000000,0.000000
random_14,random_null,2,0.990159,0.2016368984,0.2016368984,,0.0000000000,0.2016368984,0.112200,0.017600,0.007118,1.000000,0.000000
label_frequency,stat_baseline,2,0.494868,0.1044991868,0.1044991868,,0.3333333333,0.2156102979,0.200703,0.024710,0.005172,0.500000,0.000000
random_4,random_null,2,0.983708,0.1258192708,0.1258192708,,0.3333333333,0.2369303819,0.088520,-0.002216,0.008267,0.500000,0.000000
rewire_spectral_6,null_world_rewire,2,1.000000,0.1347077368,0.1347077368,,0.3333333333,0.2458188479,0.110347,0.002244,0.007065,0.500000,0.000000
random_11,random_null,2,0.998196,0.1350856265,0.1350856265,,0.3333333333,0.2461967376,0.092804,0.001989,0.008667,0.500000,0.000000
random_2,random_null,2,0.983708,0.1404594853,0.1404594853,,0.3333333333,0.2515705964,0.071756,-0.001110,0.005486,0.500000,0.000000
random_5,random_null,2,0.954434,0.1462983546,0.1462983546,,0.3333333333,0.2574094657,0.088812,0.001556,0.005782,0.500000,0.000000
rewire_spectral_2,null_world_rewire,2,1.000000,0.1580879905,0.1580879905,,0.3333333333,0.2691991017,0.078553,0.001115,0.005057,0.500000,0.000000
louvain,graph_baseline,8,0.988723,0.2034870065,0.2034870065,,0.2692307692,0.2759722136,0.724738,0.452152,0.000000,0.596154,0.000000
random_9,random_null,2,0.996792,0.2074626040,0.2074626040,,0.3333333333,0.3185737151,0.117605,0.014161,0.004764,0.500000,0.000000
degree_median,stat_baseline,2,0.320793,0.2203406622,0.2203406622,,0.3333333333,0.3314517733,0.054739,0.001279,0.002279,0.500000,0.000000
rewire_spectral_7,null_world_rewire,2,1.000000,0.2398413694,0.2398413694,,0.3333333333,0.3509524805,0.110200,0.005066,0.004906,0.500000,0.000000
